entity_name,indicator_name,indicator_code,frequency,数据来源,entity_description,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
GDP（年）,美国:GDP:现价:同比(%),EMG00000158,年,美国国家经济分析局,,5.1,5.3,6.7,9.8,11,-0.8,4.3,5.3,4.3,2.8
GDP（年）,中国:GDP:不变价:同比(%),EMM00000024,年,国家统计局,,5,5,5.4,3.1,8.6,2.3,6.1,6.8,6.9,6.8
